,peak_time,amplitude,inter_event_interval,condition
195,22.1226,-72.4745620220621,0.07060000000000244,pre_drug
196,22.1932,-56.11590572710582,0.0627999999999993,pre_drug
197,22.256,-31.028753404882583,0.2728999999999999,pre_drug
198,22.5289,-92.42482771452056,0.10529999999999973,pre_drug
199,22.6342,-39.08068344170788,0.06340000000000146,pre_drug
200,22.6976,-31.331024409828206,0.0326999999999984,pre_drug
201,22.7303,-52.276362432737436,0.24210000000000065,pre_drug
202,22.9724,-40.97067772729593,0.06390000000000029,pre_drug
203,23.0363,-47.945764269833646,0.18629999999999924,pre_drug
204,23.2226,-28.68651507094255,0.1095000000000006,pre_drug
205,23.3321,-52.14993944860644,0.1783999999999999,pre_drug
206,23.5105,-30.476887461140045,0.14699999999999847,pre_drug
207,23.6575,-80.08700633842773,0.0829000000000022,pre_drug
208,23.7404,-36.89834076292042,0.08919999999999817,pre_drug
209,23.8296,-90.45189482131788,0.12049999999999983,pre_drug
210,23.9501,-33.54800139163559,0.0727000000000011,pre_drug
211,24.0228,-69.28712336895519,0.10620000000000118,pre_drug
212,24.129,-94.29648315899394,0.19040000000000035,pre_drug
213,24.3194,-81.91470230456878,0.040099999999998914,pre_drug
214,24.3595,-79.5668772964953,0.26229999999999976,pre_drug
215,24.6218,-66.90683147656436,0.10050000000000026,pre_drug
216,24.7223,-32.272624968676595,0.18599999999999994,pre_drug
217,24.9083,-49.878505429335306,0.047399999999999665,pre_drug
218,24.9557,-154.10417220300496,0.10670000000000002,pre_drug
219,25.0624,-66.10631691595982,0.09379999999999811,pre_drug
220,25.1562,-65.25773072773777,0.08720000000000283,pre_drug
221,25.2434,-25.512419893462358,0.29329999999999856,pre_drug
222,25.5367,-41.771085737160284,0.3346000000000018,pre_drug
223,25.8713,-54.13492588631164,0.04079999999999728,pre_drug
224,25.9121,-30.066909401753797,0.07670000000000243,pre_drug
225,25.9888,-100.96449828211884,0.10179999999999723,pre_drug
226,26.0906,-41.59698674057814,0.18170000000000286,pre_drug
227,26.2723,-43.810656476648894,0.060199999999998255,pre_drug
228,26.3325,-36.75132252410595,0.04540000000000077,pre_drug
229,26.3779,-75.73351187279306,0.1053999999999995,pre_drug
230,26.4833,-66.17044667366444,0.06370000000000076,pre_drug
231,26.547,-24.795523682351586,0.044899999999998386,pre_drug
232,26.5919,-44.10660767330073,0.1960000000000015,pre_drug
